,Time,User,Tweet
80,2022-05-08 08:02:22+00:00,UKOfficial17,Happy sunday #MothersDay #amphibiaspoilers #TwitterTakeover #twittersold #viral #ViratKohli𓃵 #Lahore https://t.co/ODSfSjtXwS
81,2022-05-08 07:58:29+00:00,ProgrammingHate,"#twittersold #IndianArmy #IndiaAgainstHate #Facebook #YouTube 
HOW TO INSTALL Visual CertExam Suite WITH CRACK IN C… https://t.co/sOMKK9cFrM"
82,2022-05-08 07:33:20+00:00,MairaAsif29,"@elonmusk please buy #PayPal and bring it to in Pakistan. Trust me after few months, you will be able to buy 50+ mo… https://t.co/bOiV6GQEMb"
83,2022-05-08 07:32:20+00:00,AlhadisKhan,"RT @farhanchauhan02: @kunalkamra88 #ElonMusk भैया को लख लख बधाइयां 🍀

#twittersold #ElonMuskBuyTwitter https://t.co/PN1ZsrS7Hz"
84,2022-05-08 07:24:59+00:00,junky_sm,"RT @xixi_657: 無論今天發生多麼糟糕的事，都不應感到悲傷。一輩子不長，請原諒所有的人和事
#台灣 
#Taipei 
#台北美食
#TwitterTakeover 
#TWICEDisband 
#twittersold 
#TwentyFiveTwentyOne…"
85,2022-05-08 07:20:05+00:00,sampathmancha04,Woman (20) shocked to discover tiny dots on skin were a sign of cancer  #twittersold https://t.co/Gipz4c8sM4
86,2022-05-08 07:10:00+00:00,StephenStyris,"Can the #Twitter icon have an eye now? @elonmusk @Twitter

#ElonMuskBuyTwitter #ElonMuskTwitter #ElonMusk… https://t.co/2bsSI8zz6I"
87,2022-05-08 07:03:49+00:00,MadhuKotaK1,"Happy Mother's day..❤️
#MothersDay #motherhood #love #life #postive #firstlove #twittersold #sundaymood #momlove… https://t.co/tjPp6EPfBc"
88,2022-05-08 06:59:08+00:00,shannonhuggins,#TwitterTakeover #twittersold #ElonMuskBuyTwitter @elonmusk @DeutscheBank @USTreasury #billionaires #TaxTheRich https://t.co/ZhvIFqKB4V
89,2022-05-08 06:58:47+00:00,Itsmaazalam,"RT @farhanchauhan02: @kunalkamra88 #ElonMusk भैया को लख लख बधाइयां 🍀

#twittersold #ElonMuskBuyTwitter https://t.co/PN1ZsrS7Hz"
90,2022-05-08 06:24:02+00:00,dhakadhariom44,"RT @NehaGuptaLko: #twittersold but is the #indianjudiciary also sold !?
WHY the Voice Of People &amp; अनुरोध पत्र is being IGNORED in Sant Shri…"
91,2022-05-08 06:23:56+00:00,itsjackenley,🔥🙌🏼2018 #jackenleyjackenley #viral #share #like #comment #Tweet #twittersold https://t.co/FAHjQbpXtm
92,2022-05-08 06:09:21+00:00,TheSakala,"ଟୁଇଟର ଡିଲ୍‌ରେ ନୂଆ ପ୍ରତିବନ୍ଧକ, ଏଲନ୍‌ ମସ୍କଙ୍କ ବିରୋଧରେ ମାମଲା @thesakala https://t.co/OS6go7imBy 
#ElonMuskTwitter… https://t.co/Ntbco7IQcQ"
93,2022-05-08 06:03:17+00:00,KiaraParmar5,"@elonmusk  thinks he can double @Twitter 's revenue from subscriptions by 2028
#ElonMuskBuyTwitter #ElonMuskTwitter… https://t.co/c75WxHjvGj"
94,2022-05-08 05:55:33+00:00,farhanchauhan02,"@kunalkamra88 #ElonMusk भैया को लख लख बधाइयां 🍀

#twittersold #ElonMuskBuyTwitter https://t.co/PN1ZsrS7Hz"
95,2022-05-08 05:31:23+00:00,econotw,"RT @breaknlinks: Elon Musk aims to increase Twitter's revenue by five times, to $26.4 billion, by 2028, reports NY Times
#ElonMuskBuyTwitte…"
96,2022-05-08 05:28:29+00:00,topcryp40598760,"Binance Pledges $500M to Help Elon Musk Take Over Twitter: https://t.co/i2lYtN5ESf 
#topcryptonews #cryptomixer… https://t.co/RYEjNVy1Fu"
97,2022-05-08 05:28:17+00:00,Amit84139544,"Just be happy with your mother today, May the year have 364 more days
Happy mother's day
#twittersold 
#MothersDay"
98,2022-05-08 04:57:20+00:00,cakrawalajiwa99,"🔥🔥
All fandom go mutualan. Follow siapa saja yang like and retweet, this.
NCTzen + wayzenni, midzy, my, exo-l. K-po… https://t.co/QPQv22htSa"
99,2022-05-08 04:54:24+00:00,breaknlinks,"Elon Musk aims to increase Twitter's revenue by five times, to $26.4 billion, by 2028, reports NY Times… https://t.co/TuZRod08NY"
100,2022-05-08 04:47:00+00:00,sidljon,"RT @ShaneWenzel: Change starts at the top. 

Elon Musk Planning to Fire Twitter Execs, Take Over as CEO https://t.co/HM3jxRkJfG #twittersold"
101,2022-05-08 04:45:46+00:00,xixi_657,"無論今天發生多麼糟糕的事，都不應感到悲傷。一輩子不長，請原諒所有的人和事
#台灣 
#Taipei 
#台北美食
#TwitterTakeover 
#TWICEDisband 
#twittersold… https://t.co/ds2xMySPpP"
102,2022-05-08 04:08:32+00:00,shrineelgolam,"RT @moneycontrolcom: Tesla CEO Elon Musk is set to become Twitter’s new boss and he is already receiving job applications.

Read more about…"
103,2022-05-08 04:06:02+00:00,BILL098B,"RT @moneycontrolcom: Tesla CEO Elon Musk is set to become Twitter’s new boss and he is already receiving job applications.

Read more about…"
104,2022-05-08 04:03:58+00:00,SasiKum37837989,"RT @moneycontrolcom: Tesla CEO Elon Musk is set to become Twitter’s new boss and he is already receiving job applications.

Read more about…"
105,2022-05-08 04:03:20+00:00,gi22ri08sh,"RT @NehaGuptaLko: #twittersold but is the #indianjudiciary also sold !?
WHY the Voice Of People &amp; अनुरोध पत्र is being IGNORED in Sant Shri…"
106,2022-05-08 04:01:58+00:00,HangingDead_com,"Elon Musk was NEVER going to finish the CYBERTRUCK . 

It was probably a HOAX to take everyone’s deposit $$$ and in… https://t.co/CwSpxtwKoZ"
107,2022-05-08 04:01:10+00:00,RGB_NFTs_,"RT @akhtaranas45: Today is your day !!!
@opensea #NFT #art #creativity #twittersold"
108,2022-05-08 04:00:57+00:00,moneycontrolcom,"Tesla CEO Elon Musk is set to become Twitter’s new boss and he is already receiving job applications.

Read more ab… https://t.co/dmjRaQISbd"
109,2022-05-08 03:57:51+00:00,NiloofarZare7,RT @shibowner: New sheriff in town now and who is @jack? @elonmusk 😂 #twittersold #ElonMuskBuyTwitter #ElonMuskTwitter https://t.co/kUarLZc…
110,2022-05-08 03:54:46+00:00,HangingDead_com,"Millionaires Billionaires 
All of a sudden everyone that made money 💴 💰 💵 💰 with crypto currency wants to buy every… https://t.co/3Usibqe32o"
111,2022-05-08 03:45:09+00:00,mymonsterlife,"讓我們繼續看下去!
#推特 #私人企業 #社群平台 #言論自由 #twittersold #馬斯克 #ElonMuskTwitter #ElonMusk

https://t.co/1lIFFTwNEy"
112,2022-05-08 03:33:18+00:00,VickyRaj6888010,"RT @SirAdityaSwarup: Free Speech , A new Hope For young generation and Nationalist on Twitter now..
Now everyone gets to tweet their mind .…"
113,2022-05-08 03:29:12+00:00,cyberbear2535,"@RealOmarNavarro #TwitterTakeover #twittersold #Twitter 
Yes, I would say clean out the entire company and hire qua… https://t.co/U1eGRHwnl0"
114,2022-05-08 03:27:35+00:00,abhayjitsandhu,"#HappyMothersDay 
#HappyMothersDay2022 
#goodmorning 
#twittersold 
#MothersDay https://t.co/Gw0HdBITdw"
115,2022-05-08 03:23:40+00:00,YearlyMadeDaily,Just destroyed #Ethereum again. #DayTrading #daytrader #twittersold #NFTs #dogecoin #XRP #ADA #bitcoin #KCORP… https://t.co/Lwbw2CXk6D
116,2022-05-08 03:23:31+00:00,cakrawalajiwa99,#ByeIkatanCinta #viral #info #TwitterPleaseDoYourMagic #TwitterowePersiary #twitterblades #twittersold… https://t.co/l920WfiQr5
117,2022-05-08 03:19:53+00:00,cakrawalajiwa99,#ByeIkatanCinta #TwitterPleaseDoYourMagic #viral #info #TwitterowePersiary #twitterblades #twittersold… https://t.co/Nxcm8D9uVv
118,2022-05-08 03:14:27+00:00,cakrawalajiwa99,"Mutualan kuy, 
follow me, rtweet and like, ,siapa saja yang baca tweet saya, follow orqng yang like and tetweet twe… https://t.co/OIAdQJvdjH"
119,2022-05-08 03:12:20+00:00,waje_kailas,"RT @NehaGuptaLko: #twittersold but is the #indianjudiciary also sold !?
WHY the Voice Of People &amp; अनुरोध पत्र is being IGNORED in Sant Shri…"
120,2022-05-08 02:34:18+00:00,icybeastbrand,Who trying to tip me $5000 on Twitter thorough cash app so I can invest and buy a decent pc ?? #InvestInYou #twitch #twittersold
121,2022-05-08 02:12:25+00:00,_Afsar_sheikh_,#twittersold #Instagram https://t.co/8zTsqx526w
122,2022-05-08 01:24:38+00:00,Rajputlalit123,RT @Aishakhan0110: Mesmerising #morning view of #DalLake #Srinagar. #ElonMusk #ElonMuskBuyTwitter #ElonMuskTwitter #WithYou #twittersold #J…
123,2022-05-08 01:24:35+00:00,Rajputlalit123,"RT @KashmirLover8: A vegetable seller at a floating market on the beautiful Dal lake in #Kashmir. 
#DalLake #Tourism  #DalLake #Srinagar. #…"
124,2022-05-08 01:24:30+00:00,Rajputlalit123,"RT @KashmirLover8: The chinar sheds leaves like
Tears on the unknown bodies
That lie buried under her shade.!#BeautyOfKashmir
#Kashmir #Elo…"
125,2022-05-08 01:24:26+00:00,Rajputlalit123,RT @RUBARUBARAMULLA: Historic #ZeroBridge is an old wooden arch bridge located in the city of #Srinagar in the Indian union territory of #J…
126,2022-05-08 01:24:19+00:00,Rajputlalit123,"RT @BaramullaLovers: Shalimar Bagh, #Srinagar #BeautyOfKashmir
#Kashmir #ElonMusk #ElonMuskBuyTwitter #ElonMuskTwitter #WithYou #twittersol…"
127,2022-05-08 01:24:16+00:00,Rajputlalit123,"RT @BaramullaLovers: Pigeons fly in the premises of Khanqah mosque located in the old city of #Srinagar.

#BeautyOfKashmir #JammuKashmir 
#…"
128,2022-05-08 01:14:37+00:00,SUMITKHILADI471,"RT @YourMasalu: After #twittersold for $44 billion to Elon Musk ,
Some users are #leavingtwitter like : https://t.co/6E3qnzsAOY"
129,2022-05-08 01:06:56+00:00,Kindness626,"RT @Kindness626: Toro is looking at you with those #puppy eyes. Wondering when will he have a #home , hoping that special someone will #ado…"
130,2022-05-08 01:03:02+00:00,DPathcare,"Pathcare team wish happiness and joy to all the wonderful mothers.

Visit or call Dr. Khanna’s Pathcare Labs
📞 9785… https://t.co/nzvvXe7wCR"
131,2022-05-08 00:30:00+00:00,yamashaventure,"Elon Musk ne to Twitter apne portfolio me add kr liya, aap kya add krenge??
#yamasha #elonmusk #stockmarket… https://t.co/dlzSm7BN4U"
132,2022-05-08 00:14:31+00:00,EdwardJHiggins,RT @CyanNova2: #twittersold Costs Musk $44 billion to feed his God complex. https://t.co/nt2MKzBzYA
133,2022-05-08 00:13:00+00:00,VehementRedhead,RT @CyanNova2: #twittersold Costs Musk $44 billion to feed his God complex. https://t.co/nt2MKzBzYA
134,2022-05-08 00:10:01+00:00,NFTcryptodev,"RT @kingfactory4444: Paris launches its first artistic NFT with Lucky Buddy
source : https://t.co/ROuQgiI7RS

Art from https://t.co/fyIZWWb…"
135,2022-05-08 00:09:53+00:00,NFTcryptodev,"RT @kingfactory4444: Apple bought #Bitcoin  

Art from https://t.co/fyIZWWbI0h

#dailymemes #NFTs  #NFTCommunity  #NFTGiveaways   #twitters…"
136,2022-05-08 00:06:35+00:00,AKASHANIL2002,"RT @AKASHANIL2002: Life began with waking up and loving my mother's face ❤️Happy Mother's Day❤️

#MothersDay 
#HappyMothersDay 
#HappyMothe…"
137,2022-05-08 00:06:14+00:00,AKASHANIL2002,"Life began with waking up and loving my mother's face ❤️Happy Mother's Day❤️

#MothersDay 
#HappyMothersDay… https://t.co/ufif3Eub5E"
138,2022-05-08 00:02:03+00:00,staines_andyjoy,"RT @ShaneWenzel: Change starts at the top. 

Elon Musk Planning to Fire Twitter Execs, Take Over as CEO https://t.co/HM3jxRkJfG #twittersold"
139,2022-05-08 00:01:23+00:00,lsdcgc,"RT @WilliP3T3: Since Elon bought this Twatthole, it’d be great if he allowed the reinstatement of banned accounts that were done so for bei…"
140,2022-05-07 23:18:15+00:00,MartinsPostings,#ElonMuskBuyTwitter #ElonMusk #twitter @elonmusk #Newsnight #TwitterTakeover #twittersold @WSJopinion @WSJecon… https://t.co/toXZp3Qqts
141,2022-05-07 23:13:48+00:00,Leonid_ZMan,"RT @TheRobertHatton: First CNN imploded, then Elon Musk buys Twitter, then Roe V Wade is overturned and now Joy Behar is retiring. 2022 is…"
142,2022-05-07 22:49:33+00:00,LMcchino,"RT @TheRobertHatton: First CNN imploded, then Elon Musk buys Twitter, then Roe V Wade is overturned and now Joy Behar is retiring. 2022 is…"
